,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,서울교통공사,8호선,암사,서울특별시 강동구 암사동 501,서울특별시 강동구 올림픽로 지하776 (암사동),127.1275525,37.5486728
1,서울교통공사,8호선,천호(풍납토성),서울특별시 강동구 천호동 455,서울특별시 강동구 천호대로 지하997 (천호동) ,127.1233881,37.5386033
2,서울교통공사,8호선,강동구청,서울특별시 강동구 성내동 319,서울특별시 강동구 올림픽로 지하550 (성내동),127.1206235,37.5306852
3,서울교통공사,8호선,몽촌토성(평화의문),서울특별시 송파구 신천동 19,서울특별시 송파구 올림픽로 지하383 (신천동),127.0995,37.5200705
4,서울교통공사,8호선,잠실(송파구청),서울특별시 송파구 신천동 7-4,서울특별시 송파구 올림픽로 305 (신천동),127.1094588,37.5211214
5,서울교통공사,8호선,석촌,서울특별시 송파구 석촌동 209,서울특별시 송파구 송파대로 지하439?(석촌동),127.1035697,37.503517
6,서울교통공사,8호선,송파,서울특별시 송파구 가락동 459-4,서울특별시 송파구 송파대로 지하354 (가락동),127.1157128,37.4952783
7,서울교통공사,8호선,가락시장,서울특별시 송파구 가락동 184-23,서울특별시 송파구 송파대로 지하257?(가락동),127.1157128,37.4952783
8,서울교통공사,8호선,문정,서울특별시 송파구 문정동 119-4,서울특별시 송파구 송파대로 지하179 (문정동),127.119055,37.4849581
9,서울교통공사,8호선,장지,서울특별시 송파구 장지동 201-5,서울특별시 송파구 송파대로 지하82?(장지동),127.1285282,37.4773867
10,서울교통공사,8호선,복정,서울특별시 송파구 장지동 596-21,서울특별시 송파구 송파대로 지하6 (장지동),127.1263389,37.4821714
