거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
"22,000",,1974,2017,장승배기로18길,00027,00000,11590,01,0,4157581,노량진동,0227,0005,11590,10100,1,노량진맨션,1,3,11590-2,57.32,,227-5,11590,5,,
"56,700",,1997,2017,만양로8길,00050,00000,11590,01,0,4157208,노량진동,0323,0000,11590,10100,1,우성,1,6,11590-5,124.77,,323,11590,14,,
"51,500",,2001,2017,만양로,00019,00000,11590,01,0,3119002,노량진동,0325,0000,11590,10100,1,신동아리버파크,1,13,11590-4,84.88,,325,11590,13,,
"54,100",,2010,2017,장승배기로16길,00134,00000,11590,01,0,4157578,노량진동,0332,0000,11590,10100,1,쌍용예가,1,13,11590-3742,84.913,,332,11590,4,,
"51,000",,2001,2017,만양로,00019,00000,11590,01,0,3119002,노량진동,0325,0000,11590,10100,1,신동아리버파크,1,13,11590-4,84.88,,325,11590,14,,
"41,000",,2001,2017,만양로,00019,00000,11590,01,0,3119002,노량진동,0325,0000,11590,10100,1,신동아리버파크,1,14,11590-4,59.67,,325,11590,12,,
"55,500",,2010,2017,장승배기로16길,00134,00000,11590,01,0,4157578,노량진동,0332,0000,11590,10100,1,쌍용예가,1,14,11590-3742,84.913,,332,11590,8,,
"50,300",,1997,2017,만양로8길,00050,00000,11590,01,0,4157208,노량진동,0323,0000,11590,10100,1,우성,1,16,11590-5,84.96,,323,11590,15,,
"49,600",,2001,2017,만양로,00019,00000,11590,01,0,3119002,노량진동,0325,0000,11590,10100,1,신동아리버파크,1,24,11590-4,84.88,,325,11590,19,,
"18,540",,2015,2017,노량진로,00140,00000,11590,01,,3119011,노량진동,0057,0001,11590,10100,1,메가스터디타워,1,25,11590-4413,16.01,,57-1,11590,10,,
"41,000",,2001,2017,만양로,00019,00000,11590,01,0,3119002,노량진동,0325,0000,11590,10100,1,신동아리버파크,1,26,11590-4,59.67,,325,11590,9,,
"50,000",,2010,2017,장승배기로16길,00134,00000,11590,01,0,4157578,노량진동,0332,0000,11590,10100,1,쌍용예가,1,31,11590-3742,59.957,,332,11590,8,,
"53,800",,2004,2017,장승배기로,00026,00000,11590,02,0,3119008,상도동,0416,0000,11590,10200,1,아이파크,1,2,11590-126,84.96,,416,11590,12,,
"45,500",,1994,2017,상도로,00407,00000,11590,02,0,3119005,상도동,0408,0000,11590,10200,1,상도동삼호아파트,1,4,11590-13,84.52,,408,11590,16,,
