level_0,index,거래일,거래금액,전용면적,구주소,도로명주소,아파트,층,건축년도,법정동,구,환산가격,환산m2당가격,인구밀도,학원갯수,위경도,위도,경도,역거리,공원거리,대학거리,대형병원거리,전통시장거리,상권거리,투기지구,강남3구,마용성,노도강
10,144256,2020-06-27,85000,84.53,내발산동 742,강서로47길 108.0 0.0,마곡수명산파크1단지,6,2007.0,내발산동,강서구,92335.434,1092.339,22076.0,293.0,"{'lat': '37.554378050436', 'lng': '126.830206010388'}",37.554378050436,126.830206010388,0.7697765008658602,1.2983001359856068,1.2207488813647716,5.342365752732412,0.7942580113021163,1.0960529031658073,1,0,0,0
11,35018,2017-03-02,46500,84.8,신정동 1276,신정로 290.0 0.0,신트리3,11,2000.0,신정동,양천구,59129.321,697.28,26869.0,865.0,"{'lat': '37.5118997336939', 'lng': '126.852950017333'}",37.5118997336939,126.852950017333,0.9089443824179971,0.4896174575929201,1.7116020362065556,3.5695981821392313,0.7287656934083788,0.9885388134482203,1,0,0,0
12,53101,2017-03-06,76300,84.95,신당동 852,청구로 64.0 0.0,청구e편한세상,12,2011.0,신당동,중구,92603.835,1090.098,31322.166666666668,96.0,"{'lat': '37.5604485958729', 'lng': '127.016730517193'}",37.5604485958729,127.016730517193,0.2568439139021705,1.38355872737757,1.5948965397638648,2.4055478894780085,0.7515842792609891,0.4795317496303502,1,0,0,0
14,371223,2018-01-13,43500,84.62,천호동 49-8,양재대로123길 31.0 0.0,대명사이버아파트,5,2001.0,천호동,강동구,52539.543,620.888,31222.0,122.0,"{'lat': '37.5434660147923', 'lng': '127.140027090051'}",37.5434660147923,127.140027090051,0.3347764397898798,1.002021340688722,2.713830588749729,3.4304670226663956,0.7387067602182184,0.8304039465982508,1,0,0,0
21,390450,2018-07-15,58000,84.96,봉천동 1712,성현로 80.0 0.0,관악드림(동아),14,2003.0,봉천동,관악구,65802.204,774.508,34802.0,429.0,"{'lat': '37.489767905811', 'lng': '126.950619822698'}",37.489767905811,126.950619822698,0.965756996844409,3.0358631035044237,2.53459997489291,2.105053462762039,0.503831452882459,0.8361345555688586,0,0,0,0
23,167862,2020-10-24,66500,84.35,구로동 43-4,새말로16길 70.0 0.0,다솜금호,6,1995.0,구로동,구로구,70111.023,831.192,29127.4,212.0,"{'lat': '37.5025599589788', 'lng': '126.891952426223'}",37.5025599589788,126.891952426223,0.6879707665051458,3.5164258863302207,2.1172941304424926,1.3092516398958631,1.474756349447333,0.7049468016277943,0,0,0,0
24,68927,2017-06-12,60500,84.96,금호동4가 800,독서당로 272.0 0.0,대우,1,2001.0,금호동4가,성동구,73082.998,860.205,17205.0,31.0,"{'lat': '37.5459699809305', 'lng': '127.01982172766'}",37.5459699809305,127.01982172766,0.4170455712713908,0.29403340259975286,2.545192940741502,2.615337744760313,0.3723911266653866,2.0331184160904643,1,0,1,0
26,10510,2020-10-28,83600,84.77,홍제동 82,통일로25길 30.0 0.0,홍제한양,11,1993.0,홍제동,서대문구,85638.192,1010.242,17235.666666666668,138.0,"{'lat': '37.5833210740055', 'lng': '126.946971087746'}",37.5833210740055,126.946971087746,0.31384757768717775,0.8007329573599764,0.3604717638397639,2.397895896157132,0.8866525255276609,2.547120464956311,0,0,0,0
28,179316,2021-09-28,140000,84.408,독산동 1155,시흥대로 291.0 1.0,금천롯데캐슬골드파크3차,19,2018.0,독산동,금천구,139409.74,1651.618,28600.25,149.0,"{'lat': '37.4599188671036', 'lng': '126.897250450783'}",37.4599188671036,126.897250450783,0.5578446681207679,1.3632102125297199,5.142375398387467,3.7513126858533106,0.624043258222035,0.8197776517827902,0,0,0,0
29,22074,2017-06-01,69500,84.84,상암동 1643,월드컵로 338.0 0.0,상암월드컵파크3단지,12,2003.0,상암동,마포구,87742.688,1034.214,3747.0,105.0,"{'lat': '37.5726880929371', 'lng': '126.889779870573'}",37.5726880929371,126.889779870573,0.9093113392421502,0.3239023655142879,3.829073521429659,4.046042378227685,1.1049649244560826,0.8879943801635476,1,0,1,0
30,266854,2020-06-11,41500,84.98,쌍문동 53,해등로 242.0 11.0,성원,2,1989.0,쌍문동,도봉구,44894.406,528.294,30446.75,190.0,"{'lat': '37.6584134290763', 'lng': '127.02890230168'}",37.6584134290763,127.02890230168,1.2022915572072854,0.3072365120153192,1.4807649560683442,7.439825500119271,0.9918052955554116,1.8004353564009223,0,0,0,1
36,162748,2019-11-12,77500,84.69,신도림동 641,신도림로19길 16.0 0.0,현대홈타운아파트,7,1999.0,신도림동,구로구,85874.539,1013.987,24722.0,114.0,"{'lat': '37.5119722191003', 'lng': '126.884254440618'}",37.5119722191003,126.884254440618,0.28885916820018326,2.957783041323637,1.9459132822429683,2.1993108988082786,2.1018496326592215,0.5915553626292108,0,0,0,0
40,376267,2019-09-24,93800,84.92,명일동 54,동남로71길 19.0 0.0,한양,2,1986.0,명일동,강동구,107440.096,1265.192,30318.5,344.0,"{'lat': '37.5504609335785', 'lng': '127.155149609526'}",37.5504609335785,127.155149609526,0.5127796558388561,0.656505014779287,3.963690916720152,4.969361945383156,0.911655020314387,0.34899384852674686,1,0,0,0
45,317903,2020-06-29,74500,84.78,진관동 150,연서로46길 7.0 0.0,은평뉴타운기자촌11단지,4,2015.0,진관동,은평구,79286.589,935.204,4858.0,179.0,"{'lat': '37.6363231544427', 'lng': '126.934653753628'}",37.6363231544427,126.934653753628,1.3950174075995445,1.3616539841338944,4.351340097957742,8.088054341279575,2.05846229461042,2.164729187338146,0,0,0,0
50,204869,2019-10-03,140000,84.9704,상도동 903,만양로 6.0 0.0,e편한세상상도노빌리티,18,2018.0,상도동,동작구,159198.409,1873.575,34756.5,199.0,"{'lat': '37.5053357229011', 'lng': '126.947797962972'}",37.5053357229011,126.947797962972,0.2783547832451977,0.9335424711766651,0.5367260235711083,1.1356228474125236,0.6601184309966563,0.8892701777573626,1,0,0,0
52,76068,2019-10-11,108000,84.99,금호동2가 1217,금호로 107.0 0.0,래미안하이리버,10,2012.0,금호동2가,성동구,117524.885,1382.808,35795.0,23.0,"{'lat': '37.5512924647715', 'lng': '127.024541411946'}",37.5512924647715,127.024541411946,0.5184671444253756,0.5331960260567091,1.9780446512749286,1.9482273936499765,0.3577364851460809,1.3102508377968636,1,0,1,0
54,369188,2017-09-23,52800,84.75,길동 400,천호대로193길 37.0 0.0,길동우성,9,1994.0,길동,강동구,66217.724,781.33,21186.0,93.0,"{'lat': '37.5371649256151', 'lng': '127.144179292388'}",37.5371649256151,127.144179292388,0.37487934487126934,0.8126718012979399,2.1993072911535556,3.4112389922644586,0.12176143135443612,0.5444452447782794,1,0,0,0
