level_0,index,거래일,거래금액,m2당가격,전용면적,구주소,도로명주소,아파트,층,건축년도,법정동,지역코드,구,가격지수비율,환산가격,환산m2당가격,인구밀도,학원갯수,위경도,위도,경도
0,3,2017-01-05,77800,916.264,84.91,방배동 1038,효령로 84  ,대우(효령),12,1992,방배동,11650,서초구,0.6393333333333334,121689.26,1433.156,18193.333333333332,420,"{'lat': '37.4795610823521', 'lng': '126.993898555084'}",37.4795610823521,126.993898555084
1,5,2017-01-05,74000,870.691,84.99,방배동 2525,방배선행길 1  ,방배우성,2,1991,방배동,11650,서초구,0.6393333333333334,115745.568,1361.873,18193.333333333332,420,"{'lat': '37.474408252473', 'lng': '126.982576685314'}",37.474408252473,126.982576685314
2,7,2017-01-07,106500,1253.943,84.9321,방배동 424-28,방배천로18길 11  ,롯데캐슬아르떼,5,2013,방배동,11650,서초구,0.6393333333333334,166579.771,1961.329,18193.333333333332,420,"{'lat': '37.4836231357856', 'lng': '126.984446674831'}",37.4836231357856,126.984446674831
3,10,2017-01-09,115800,1363.725,84.9145,방배동 424-28,방배천로18길 11  ,롯데캐슬아르떼,16,2013,방배동,11650,서초구,0.6393333333333334,181126.173,2133.042,18193.333333333332,420,"{'lat': '37.4836231357856', 'lng': '126.984446674831'}",37.4836231357856,126.984446674831
4,15,2017-01-12,69000,812.625,84.91,방배동 1038,효령로 84  ,대우(효령),1,1992,방배동,11650,서초구,0.6393333333333334,107924.922,1271.051,18193.333333333332,420,"{'lat': '37.4795610823521', 'lng': '126.993898555084'}",37.4795610823521,126.993898555084
5,16,2017-01-12,91700,1083.156,84.66,방배동 3277,동광로3길 18  ,방배아이파크,6,2006,방배동,11650,서초구,0.6393333333333334,143430.657,1694.196,18193.333333333332,420,"{'lat': '37.4916044057418', 'lng': '126.984838188636'}",37.4916044057418,126.984838188636
6,20,2017-01-14,75000,882.976,84.94,방배동 930-1,방배로19길 67  ,방배브라운가,5,2006,방배동,11650,서초구,0.6393333333333334,117309.698,1381.089,18193.333333333332,420,"{'lat': '37.4835229716453', 'lng': '126.991940403163'}",37.4835229716453,126.991940403163
7,24,2017-01-17,113000,1329.819,84.974,방배동 424-28,방배천로18길 11  ,롯데캐슬아르떼,3,2013,방배동,11650,서초구,0.6393333333333334,176746.611,2080.008,18193.333333333332,420,"{'lat': '37.4836231357856', 'lng': '126.984446674831'}",37.4836231357856,126.984446674831
8,25,2017-01-18,75000,883.809,84.86,방배동 444-3,방배천로 11  ,SK리더스뷰(파스텔시티),13,2006,방배동,11650,서초구,0.6393333333333334,117309.698,1382.391,18193.333333333332,420,"{'lat': '37.4776670632433', 'lng': '126.982230881975'}",37.4776670632433,126.982230881975
9,27,2017-01-21,80500,947.616,84.95,방배동 444-3,방배천로 11  ,SK리더스뷰(파스텔시티),21,2006,방배동,11650,서초구,0.6393333333333334,125912.409,1482.194,18193.333333333332,420,"{'lat': '37.4776670632433', 'lng': '126.982230881975'}",37.4776670632433,126.982230881975
