,구,행정동,면적 (k㎡),인구 (명),면적 (㎢),인구밀도 (명/㎢),보육시설,외국인주민,중위연령,기초수급자,상가면적,도로비율,임야비율,공원비율,전세m2당보증금,학원갯수
0,종로구,사직동,1.23,9636,1.23,7834,0.09900373599003735,0.04192611041926111,45.7,0.012972187629721877,4292.682926829269,0.2286689649669453,0.03286410837438118,0.021607545669981732,573.0,3.0
1,종로구,삼청동,1.49,2739,1.49,1838,0.020080321285140562,0.03176341730558598,47.9,0.01642935377875137,0.0,0.13747705080336667,0.11473479066417376,0.0,523.0,1.0
2,종로구,부암동,2.27,9782,2.27,4309,0.01574320179922306,0.03874463299938663,46.2,0.017787773461459825,0.0,0.0864702292817473,0.2438079751932211,6.095050044022199e-05,420.0,8.0
3,종로구,평창동,8.87,18329,8.87,2066,0.009547711277210977,0.02346009056686126,47.3,0.007856402422390748,0.0,0.031209785776991905,0.713595830105404,0.0030336157783376716,455.0,14.0
4,종로구,무악동,0.36,8297,0.36,23047,0.028926117873930336,0.011570447149572135,46.1,0.02482825117512354,0.0,0.1005844891780826,0.4569185055325261,0.010461559169220525,787.0,22.0
5,종로구,교남동,0.35,10203,0.35,29151,0.03165735567970205,0.03195138684700578,44.0,0.02107223365676762,0.0,0.28259635455724536,0.0004637693254390805,0.060452610754624554,968.0,5.0
6,종로구,가회동,0.54,4194,0.54,7767,0.042441583214115404,0.03671912255603243,47.8,0.018359561278016214,0.0,0.15145337041395926,0.10449747118507785,0.0036887972091456944,451.0,2.0
7,종로구,종로1.2.3.4가동,2.35,8595,2.35,3657,0.0862129144851658,0.09435718440954043,47.3,0.09144851657940663,31174.893617021276,0.2887253205773705,0.0002727676799475977,0.029949753060443673,636.0,5.0
8,종로구,종로5.6가동,0.6,5476,0.6,9127,0.03341855368882396,0.10719503287070854,43.8,0.05825420014609204,123435.0,0.2673148305931335,0.00033009616218297765,0.025266870700997902,620.0,2.0
9,종로구,이화동,0.78,7705,0.78,9878,0.019208306294613887,0.0873458792991564,40.2,0.037378325762491886,0.0,0.16255158511900225,0.05351640812220778,0.0306190641200787,411.0,4.0
10,종로구,혜화동,1.12,18960,1.12,16929,0.013924050632911392,0.16993670886075948,32.5,0.020042194092827006,0.0,0.14411396427687562,0.05749303581854201,0.004840606440843536,549.0,7.0
11,종로구,창신1동,0.31,5631,0.31,18165,0.031965903036760786,0.2088438998401705,51.3,0.08897176345231753,37403.22580645161,0.15683933509939993,0.03341613828114167,0.02110583406114209,444.0,13.0
12,종로구,창신2동,0.26,9051,0.26,34812,0.02077118550436416,0.1973262622914595,50.8,0.054248149375759586,0.0,0.15683933509939993,0.03341613828114167,0.02110583406114209,444.0,13.0
13,종로구,창신3동,0.23,6733,0.23,29274,0.017228575672062974,0.041437694935392844,47.3,0.036684984405168576,0.0,0.15683933509939993,0.03341613828114167,0.02110583406114209,444.0,13.0
14,종로구,숭인1동,0.23,6106,0.23,26548,0.019161480510972814,0.07959384212250245,48.6,0.04847690795938421,0.0,0.2173077656067477,0.018535387227543373,0.056437818577230334,606.0,15.0
15,종로구,숭인2동,0.35,10175,0.35,29071,0.012285012285012284,0.08687960687960689,40.3,0.04668304668304668,19408.57142857143,0.2173077656067477,0.018535387227543373,0.056437818577230334,606.0,15.0
16,종로구,청운효자동,2.57,12177,2.57,4738,0.03219183706988585,0.018805945635213928,44.8,0.018805945635213928,856.0311284046693,0.1487561857249879,0.18769324184854314,0.018838131728153608,486.0,2.0
