거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,법정동,시군구,용도지역,월,유형,일,지역코드,층,구분,건물m2당가격,토지m2당가격
53000,0,154.95,제2종근린생활,2006.0,2010,103.5,필운동,종로구,제1종일반주거,1,일반,13,11110,0.0,0,342.046,512.077
113000,0,101.19,판매,2007.0,2010,0.0,종로1가,종로구,일반상업,1,집합,8,11110,2.0,0,1116.711,inf
40793,0,37.39,판매,2007.0,2010,0.0,종로1가,종로구,일반상업,1,집합,13,11110,0.0,0,1091.014,inf
16000,0,25.33,판매,2007.0,2010,0.0,종로1가,종로구,일반상업,1,집합,22,11110,0.0,0,631.662,inf
27839,0,35.89,업무,2005.0,2010,0.0,경운동,종로구,일반상업,1,집합,4,11110,2.0,0,775.676,inf
85000,0,213.84,제2종근린생활,1992.0,2010,49.5,계동,종로구,준주거,1,일반,19,11110,0.0,0,397.493,1717.172
19204,0,43.8,제2종근린생활,2006.0,2010,0.0,인의동,종로구,일반상업,1,집합,21,11110,-2.0,0,438.447,inf
18001,0,42.89,제2종근린생활,2006.0,2010,0.0,인의동,종로구,일반상업,1,집합,21,11110,-2.0,0,419.702,inf
16798,0,43.34,제2종근린생활,2006.0,2010,0.0,인의동,종로구,일반상업,1,집합,21,11110,-2.0,0,387.587,inf
16798,0,42.89,제2종근린생활,2006.0,2010,0.0,인의동,종로구,일반상업,1,집합,21,11110,-2.0,0,391.653,inf
16798,0,42.89,제2종근린생활,2006.0,2010,0.0,인의동,종로구,일반상업,1,집합,21,11110,-2.0,0,391.653,inf
18001,0,42.89,제2종근린생활,2006.0,2010,0.0,인의동,종로구,일반상업,1,집합,21,11110,-2.0,0,419.702,inf
21000,0,24.7,제1종근린생활,1971.0,2010,11.43,예지동,종로구,일반상업,1,일반,19,11110,0.0,지분,850.202,1837.27
300000,0,389.94,제1종근린생활,1971.0,2010,95.6,종로6가,종로구,일반상업,1,일반,6,11110,0.0,0,769.349,3138.075
32000,0,26.04,제1종근린생활,2002.0,2010,0.0,명륜4가,종로구,제2종일반주거,1,집합,18,11110,1.0,0,1228.879,inf
36000,0,24.46,제1종근린생활,2002.0,2010,0.0,명륜4가,종로구,제2종일반주거,1,집합,18,11110,1.0,0,1471.791,inf
5500,0,14.88,제2종근린생활,2003.0,2010,0.0,적선동,종로구,일반상업,2,집합,4,11110,-1.0,0,369.624,inf
