거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,법정동,시군구,용도지역,월,유형,일,중개사소재지,지역코드,해제사유발생일,해제여부,층
"247,949",,416.49,업무,1996,2017,,충정로3가,서대문구,준주거,1,집합,16,,11410,,,
"535,000",,416.49,업무,1996,2017,,충정로3가,서대문구,준주거,1,집합,16,,11410,,,
"132,000",,71.14,제1종근린생활,1983,2017,78.7,냉천동,서대문구,일반상업,1,일반,26,,11410,,,
"26,700",,15.24,제2종근린생활,1958,2017,24,북아현동,서대문구,제2종일반주거,1,일반,23,,11410,,,
"19,000",,18.54,제2종근린생활,2005,2017,,홍제동,서대문구,제2종일반주거,1,집합,12,,11410,,,
"330,000",,1511.88,제1종근린생활,1993,2017,453,홍제동,서대문구,제3종일반주거,1,일반,19,,11410,,,
"2,200",,3.8,판매,2007,2017,,대현동,서대문구,일반상업,1,집합,6,,11410,,,40
"3,200",,3.8,판매,2007,2017,,대현동,서대문구,일반상업,1,집합,6,,11410,,,
"380,000",,983.56,숙박,1989,2017,275.4,창천동,서대문구,일반상업,1,일반,10,,11410,,,
"305,000",,109.76,제1종근린생활,1962,2017,62.4,창천동,서대문구,일반상업,1,일반,16,,11410,,,
"10,000",,16.39,제2종근린생활,1993,2017,,창천동,서대문구,제2종일반주거,1,집합,18,,11410,,,3
"306,000",,51.54,제2종근린생활,1961,2017,108.8,창천동,서대문구,일반상업,1,일반,31,,11410,,,
"1,100",,8.76,판매,1990,2017,,홍은동,서대문구,제3종일반주거,1,집합,9,,11410,,,
"10,000",,25.18,제2종근린생활,2010,2017,,북가좌동,서대문구,제2종일반주거,1,집합,3,,11410,,,1
"50,809",,59.78,제2종근린생활,2012,2017,,북가좌동,서대문구,제3종일반주거,1,집합,5,,11410,,,
"12,000",,34.2,제2종근린생활,2015,2017,,북가좌동,서대문구,제2종일반주거,1,집합,15,,11410,,,1
"11,900",,22.55,제2종근린생활,1966,2017,,남가좌동,서대문구,일반상업,1,집합,3,,11410,,,3
"7,300",,23.6,제2종근린생활,1966,2017,,남가좌동,서대문구,일반상업,1,집합,6,,11410,,,
"222,412",,332.43,업무,1996,2017,,충정로3가,서대문구,준주거,2,집합,3,,11410,,,
"279,622",,417.94,업무,1996,2017,,충정로3가,서대문구,준주거,2,집합,3,,11410,,,
"325,000",,396.93,업무,1996,2017,,충정로3가,서대문구,준주거,2,집합,8,,11410,,,
"15,500",,65.63,제1종근린생활,1985,2017,100,홍제동,서대문구,제2종일반주거,2,일반,27,,11410,,,
"41,795",,81.35,제1종근린생활,2015,2017,,대현동,서대문구,일반상업,2,집합,11,,11410,,,2
"8,900",,38.79,제2종근린생활,1996,2017,,대신동,서대문구,제2종일반주거,2,집합,8,,11410,,,1
"168,600",,450.77,제2종근린생활,1988,2017,186.4,창천동,서대문구,제2종일반주거,2,일반,1,,11410,,,
"527,933",,995.95,숙박,1995,2017,196.9,창천동,서대문구,일반상업,2,일반,22,,11410,,,
"470,000",,924.64,제2종근린생활,1990,2017,392.1,창천동,서대문구,제3종일반주거,2,일반,25,,11410,,,
"45,000",,77.16,제2종근린생활,1970,2017,40.3,연희동,서대문구,제2종일반주거,2,일반,3,,11410,,,
"33,000",,98.73,제1종근린생활,1987,2017,66,연희동,서대문구,제2종일반주거,2,일반,8,,11410,,,
"150,000",,465.54,제2종근린생활,2003,2017,183.1,홍은동,서대문구,제3종일반주거,2,일반,17,,11410,,,
500,,12.21,제1종근린생활,2001,2017,,북가좌동,서대문구,제2종일반주거,2,집합,9,,11410,,,1
"92,231",,840.36,업무,2000,2017,,북가좌동,서대문구,제2종일반주거,2,집합,27,,11410,,,
"55,440",,123.56,제1종근린생활,1976,2017,88.6,북가좌동,서대문구,제3종일반주거,2,일반,28,,11410,,,
"420,000",,814.5,제2종근린생활,2016,2017,408.6,남가좌동,서대문구,제2종일반주거,2,일반,1,,11410,,,
"420,000",,814.5,제2종근린생활,2016,2017,408.6,남가좌동,서대문구,제2종일반주거,2,일반,1,,11410,,,
"15,500",,37.33,제2종근린생활,2007,2017,,남가좌동,서대문구,제2종일반주거,2,집합,8,,11410,,,2
"45,500",,25.34,제1종근린생활,2009,2017,,남가좌동,서대문구,제3종일반주거,2,집합,14,,11410,,,
"146,000",,466.4,제1종근린생활,1990,2017,,남가좌동,서대문구,제3종일반주거,2,집합,28,,11410,,,
"111,000",,250.6,제2종근린생활,1984,2017,,충정로3가,서대문구,제2종일반주거,3,집합,6,,11410,,,
"110,000",,250.6,제2종근린생활,1984,2017,,충정로3가,서대문구,제2종일반주거,3,집합,6,,11410,,,
"81,000",,80.46,제2종근린생활,1933,2017,48.9,냉천동,서대문구,일반상업,3,일반,30,,11410,,,
"59,000",,211.2,제1종근린생활,1994,2017,95.4,천연동,서대문구,제2종일반주거,3,일반,14,,11410,,,
"74,600",,58.27,제1종근린생활,1960,2017,77.5,북아현동,서대문구,준주거,3,일반,1,,11410,,,
"20,832",,32.34,제2종근린생활,2015,2017,,북아현동,서대문구,제2종일반주거,3,집합,13,,11410,,,
"11,807",,16.62,제2종근린생활,2015,2017,,북아현동,서대문구,제2종일반주거,3,집합,16,,11410,,,
"68,094",,67.32,제1종근린생활,1946,2017,,북아현동,서대문구,제2종일반주거,3,집합,23,,11410,,,
"64,944",,64.26,제1종근린생활,1946,2017,,북아현동,서대문구,제2종일반주거,3,집합,24,,11410,,,
"39,429",,51.81,제1종근린생활,1946,2017,,북아현동,서대문구,제2종일반주거,3,집합,27,,11410,,,
