거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,법정동,시군구,용도지역,월,유형,일,중개사소재지,지역코드,층,해제사유발생일,해제여부,구분
"47,262",,45,제1종근린생활,2016,2017,,아현동,마포구,제2종일반주거,1,집합,6,,11440,1,,,
"10,900",,19.6,업무,1987,2017,,아현동,마포구,준주거,1,집합,10,,11440,,,,
"20,500",,45.86,업무,2002,2017,,공덕동,마포구,일반상업,1,집합,9,,11440,,,,
"45,000",,90.96,업무,2002,2017,,공덕동,마포구,일반상업,1,집합,11,,11440,13,,,
"21,700",,45.86,업무,2002,2017,,공덕동,마포구,일반상업,1,집합,14,,11440,23,,,
"12,300",,27.7,제1종근린생활,2005,2017,,신공덕동,마포구,일반상업,1,집합,18,,11440,,,,
"14,250",,30.38,제1종근린생활,2000,2017,,도화동,마포구,제3종일반주거,1,집합,6,,11440,,,,
"87,000",,28.48,제1종근린생활,2007,2017,,도화동,마포구,일반상업,1,집합,18,,11440,1,,,
"11,000",,26.13,업무,1987,2017,,도화동,마포구,일반상업,1,집합,19,,11440,13,,,
"20,000",,83.94,판매,1984,2017,,도화동,마포구,일반상업,1,집합,20,,11440,,,,
"20,000",,110.17,판매,1984,2017,,도화동,마포구,일반상업,1,집합,20,,11440,,,,
"123,000",,257.65,제2종근린생활,1977,2017,140.2,도화동,마포구,제3종일반주거,1,일반,24,,11440,,,,
"11,900",,29.06,업무,1986,2017,,마포동,마포구,준주거,1,집합,9,,11440,9,,,
"30,000",,53,제2종근린생활,2016,2017,,마포동,마포구,제3종일반주거,1,집합,11,,11440,,,,
"43,000",,44.01,제2종근린생활,2014,2017,,대흥동,마포구,일반상업,1,집합,5,,11440,,,,
"132,000",,96.56,제1종근린생활,1960,2017,185,대흥동,마포구,제2종일반주거,1,일반,13,,11440,,,,
"30,000",,23.94,제2종근린생활,1956,2017,33,염리동,마포구,제2종일반주거,1,일반,10,,11440,,,,
"7,250",,14.05,업무,2006,2017,,노고산동,마포구,일반상업,1,집합,14,,11440,,,,
"20,850",,22.12,숙박,2006,2017,,노고산동,마포구,일반상업,1,집합,19,,11440,11,,,
"17,200",,60,제2종근린생활,2008,2017,,서교동,마포구,제2종일반주거,1,집합,26,,11440,1,,,
"333,041",,929.35,제2종근린생활,2010,2017,165.1,동교동,마포구,제3종일반주거,1,일반,2,,11440,,,,
"33,090",,9.86,판매,2007,2017,,동교동,마포구,근린상업,1,집합,12,,11440,,,,
"26,370",,8.41,판매,2007,2017,,동교동,마포구,근린상업,1,집합,24,,11440,,,,
"17,000",,37.93,제2종근린생활,2014,2017,,합정동,마포구,제2종일반주거,1,집합,3,,11440,,,,
"16,700",,37.93,제2종근린생활,2014,2017,,합정동,마포구,제2종일반주거,1,집합,31,,11440,1,,,
"85,000",,379.95,제2종근린생활,2014,2017,,망원동,마포구,제2종일반주거,1,집합,11,,11440,,,,
"337,000",,346.05,제2종근린생활,1989,2017,198,연남동,마포구,제2종일반주거,1,일반,7,,11440,,,,
"62,500",,26.3,제1종근린생활,2014,2017,,성산동,마포구,유통상업,1,집합,12,,11440,1,,,
"436,450",,1257.02,제2종근린생활,2014,2017,392.7,성산동,마포구,제2종일반주거,1,일반,18,,11440,,,,
"10,000",,19.8,업무,2002,2017,,성산동,마포구,제2종일반주거,1,집합,18,,11440,,,,
"27,300",,64.45,제1종근린생활,1986,2017,39.2,아현동,마포구,제2종일반주거,2,일반,10,,11440,,,,
"10,000",,19.6,업무,1987,2017,,아현동,마포구,준주거,2,집합,21,,11440,,,,
"11,000",,19.6,업무,1987,2017,,아현동,마포구,준주거,2,집합,23,,11440,,,,
"190,000",,520.56,제1종근린생활,1989,2017,172,공덕동,마포구,일반상업,2,일반,1,,11440,,,,
"190,000",,520.56,제1종근린생활,1989,2017,172,공덕동,마포구,일반상업,2,일반,1,,11440,,,,
"9,100",,19.08,업무,2002,2017,,공덕동,마포구,일반상업,2,집합,6,,11440,4,,,
"31,500",,103.11,업무,1985,2017,,공덕동,마포구,일반상업,2,집합,17,,11440,12,,,
"21,000",,45.86,업무,2002,2017,,공덕동,마포구,일반상업,2,집합,22,,11440,19,,,
"20,500",,64.17,업무,1985,2017,,공덕동,마포구,일반상업,2,집합,24,,11440,,,,
"22,000",,45.86,업무,2002,2017,,공덕동,마포구,일반상업,2,집합,27,,11440,15,,,
"22,000",,45.86,업무,2002,2017,,공덕동,마포구,일반상업,2,집합,27,,11440,15,,,
"12,000",,31.97,제2종근린생활,2005,2017,,신공덕동,마포구,일반상업,2,집합,28,,11440,,,,
"22,000",,76.4,업무,1985,2017,,도화동,마포구,일반상업,2,집합,3,,11440,8,,,
"98,000",,34.65,제2종근린생활,2006,2017,,도화동,마포구,일반상업,2,집합,17,,11440,1,,,
"165,000",,199.15,제2종근린생활,1983,2017,162.6,도화동,마포구,제2종일반주거,2,일반,25,,11440,,,,
"14,500",,41.66,업무,1987,2017,,마포동,마포구,준주거,2,집합,9,,11440,13,,,
"15,000",,44.11,업무,1987,2017,,마포동,마포구,준주거,2,집합,21,,11440,9,,,
"33,500",,129.42,판매,1980,2017,,염리동,마포구,제3종일반주거,2,집합,18,,11440,,,,
"33,500",,130.05,판매,1980,2017,,염리동,마포구,제3종일반주거,2,집합,18,,11440,,,,
"20,000",,26.48,제2종근린생활,2010,2017,,노고산동,마포구,제2종일반주거,2,집합,3,,11440,3,,,
"98,000",,36.36,제2종근린생활,,2017,81,노고산동,마포구,일반상업,2,일반,3,,11440,,,,
