호선,역이름,code,위도,경도,주소
01호선,남영,1002.0,37.541021,126.9713,서울특별시 용산구 갈월동
01호선,용산,1003.0,37.529849,126.964561,서울특별시 용산구 한강로3가
01호선,노량진,1004.0,37.514219,126.942454,서울특별시 동작구 노량진동
01호선,대방,1005.0,37.513342,126.926382,서울특별시 영등포구 신길동
01호선,영등포,1006.0,37.515504,126.907628,서울특별시 영등포구 영등포동
01호선,신도림,1007.0,37.508725,126.891295,서울특별시 구로구 신도림동
01호선,회기,1015.0,37.58946,127.057583,서울특별시 동대문구 휘경동
01호선,외대앞,1016.0,37.596073,127.063549,서울특별시 동대문구 이문동
01호선,신이문,1017.0,37.601854,127.067325,서울특별시 동대문구 이문동
01호선,광운대,1019.0,37.623632,127.061835,서울특별시 노원구 월계동
01호선,월계,1020.0,37.633212,127.058831,서울특별시 노원구 월계동
01호선,녹천,1021.0,37.644799,127.051269,서울특별시 도봉구 창동
01호선,창동,1022.0,37.653166,127.047731,서울특별시 도봉구 창동
01호선,신길,1032.0,37.517122,126.917169,서울특별시 영등포구 신길동
01호선,석계,1018.0,37.614805,127.065851,서울특별시 성북구 석관동
01호선,구로,1701.0,37.503039,126.881966,서울특별시 구로구 구로동
01호선,가산디지털단지,1702.0,37.481072,126.882343,서울특별시 금천구 가산동
01호선,금천구청,1703.0,37.455626,126.89398,서울특별시 금천구 시흥동
01호선,독산,1714.0,37.466613,126.889249,서울특별시 금천구 가산동
01호선,개봉,1801.0,37.494594,126.85868,서울특별시 구로구 개봉동
01호선,오류동,1802.0,37.494526,126.845365,서울특별시 구로구 오류동
01호선,구일,1813.0,37.496756,126.870793,서울특별시 구로구 구로동
01호선,온수,1821.0,37.492258,126.823388,서울특별시 구로구 온수동
01호선,방학,1901.0,37.667503,127.044273,서울특별시 도봉구 방학동
01호선,도봉,1902.0,37.679563,127.045595,서울특별시 도봉구 도봉동
01호선,도봉산,1903.0,37.689313,127.046222,서울특별시 도봉구 도봉동
01호선,종로3가,153.0,37.571607,126.991806,서울특별시 종로구 묘동
01호선,종로5가,154.0,37.570926,127.001849,서울특별시 종로구 종로5가
01호선,동대문,155.0,37.57142,127.009745,서울특별시 종로구 종로6가
01호선,신설동,156.0,37.575297,127.025087,서울특별시 동대문구 신설동
01호선,제기동,157.0,37.578103,127.034893,서울특별시 동대문구 용두동
01호선,청량리,158.0,37.580178,127.046835,서울특별시 동대문구 전농동
01호선,동묘앞,159.0,37.572627,127.016429,서울특별시 종로구 숭인동
01호선,서울,150.0,37.554648,126.972559,서울특별시 중구 봉래동2가
01호선,시청,151.0,37.564718,126.977108,서울특별시 중구 태평로2가
01호선,종각,152.0,37.570161,126.982923,서울특별시 종로구 종로1가
02호선,강변,214.0,37.535095,127.094681,서울특별시 광진구 구의동
02호선,잠실나루,215.0,37.520733,127.10379,서울특별시 송파구 신천동
02호선,잠실,216.0,37.51395,127.102234,서울특별시 송파구 신천동
02호선,잠실새내,217.0,37.511687,127.086162,서울특별시 송파구 잠실동
02호선,종합운동장,218.0,37.510997,127.073642,서울특별시 송파구 잠실동
02호선,삼성,219.0,37.508844,127.06316,서울특별시 강남구 대치동
02호선,선릉,220.0,37.504503,127.049008,서울특별시 강남구 대치동
02호선,역삼,221.0,37.500622,127.036456,서울특별시 강남구 역삼동
02호선,강남,222.0,37.497175,127.027926,서울특별시 서초구 서초동
02호선,교대,223.0,37.493415,127.01408,서울특별시 서초구 서초동
02호선,방배,225.0,37.481426,126.997596,서울특별시 서초구 방배동
02호선,사당,226.0,37.47653,126.981685,서울특별시 관악구 남현동
02호선,낙성대,227.0,37.47693,126.963693,서울특별시 관악구 봉천동
02호선,서울대입구,228.0,37.481247,126.952739,서울특별시 관악구 봉천동
02호선,봉천,229.0,37.482362,126.941892,서울특별시 관악구 봉천동
