,철도운영기관명,선명,역명,지번주소,도로명주소,경도,위도
0,코레일,분당,왕십리,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17,127.0379421,37.5621482
1,코레일,분당,서울숲,서울특별시 성동구 성수동1가 656-436,서울특별시 성동구 왕십리로 77,127.0436808,37.5493
2,코레일,분당,압구정로데오,서울특별시 강남구 압구정동 495,서울특별시 강남구 압구정로 402,127.0357939,37.5270213
3,코레일,분당,강남구청,서울특별시 강남구 삼성동 111-44,서울특별시 강남구 학동로 346,127.041288,37.517161
4,코레일,분당,선정릉(한국과학창의재단),서울특별시 강남구 삼성동 111-44,서울특별시 강남구 선릉로 580,127.047777,37.5070339
5,코레일,분당,선릉,서울특별시 강남구 삼성동 172-66,서울특별시 강남구 선릉로 340,127.0514293,37.5001824
6,코레일,분당,한티,서울특별시 강남구 대치동 1011-28,서울특별시 강남구 선릉로 228,127.0528705,37.4962068
7,코레일,분당,도곡,서울특별시 강남구 도곡동 467-5,서울특별시 강남구 남부순환로 2814,127.0553064,37.4908245
8,코레일,분당,구룡,서울특별시 강남구 개포동 175-3,서울특별시 강남구 개포로 403,127.0592486,37.4870256
9,코레일,분당,개포동,서울특별시 강남구 개포동 195,서울특별시 강남구 개포로 420,127.0665315,37.4892333
10,코레일,분당,대모산입구,서울특별시 강남구 일원동 700,서울특별시 강남구 개포로 522,127.0731614,37.4915147
11,코레일,분당,수서,서울특별시 강남구 수서동 728,서울특별시 강남구 광평로 270,127.1018416,37.4873499
12,코레일,분당,복정(동서울대학),서울특별시 송파구 장지동 596-21,서울특별시 송파구 송파대로 6,127.1266998,37.4706864
